,Unnamed: 0,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted,age_bin,games_bin,games_started_bin,mins_bin
18,18,Deandre Ayton,Center,22.0,69.0,69.0,30.7,1.1,0.1,127.0,109.0,10018.2,11514.885,"(21, 24]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
19,19,Dwayne Bacon,Guard,25.0,72.0,50.0,25.7,-3.7,-1.4,102.0,117.0,1678.854,1929.669,"(24, 27]","(65.0, 82.0]","(40.0, 60.0]","(20.0, 30.0]"
20,20,Marvin Bagley,Forward,21.0,43.0,42.0,25.9,-0.4,-2.7,109.0,117.0,8963.64,10302.777,"(18, 21]","(35.0, 50.0]","(40.0, 60.0]","(20.0, 30.0]"
21,21,LaMelo Ball,Guard,19.0,51.0,31.0,28.8,1.1,0.7,108.0,110.0,7839.96,9011.223,"(18, 21]","(50.0, 65.0]","(20.0, 40.0]","(20.0, 30.0]"
22,22,Lonzo Ball,Guard,23.0,55.0,55.0,31.8,1.4,0.3,110.0,113.0,11003.782,12647.709,"(21, 24]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
23,23,Mo Bamba,Center,22.0,46.0,5.0,15.8,0.2,0.0,111.0,109.0,5969.04,6860.794,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
24,24,Desmond Bane,Guard,22.0,68.0,17.0,22.3,-0.6,-0.2,115.0,114.0,1936.44,2225.737,"(21, 24]","(65.0, 82.0]","(-0.001, 20.0]","(20.0, 30.0]"
25,25,Harrison Barnes,Forward,28.0,58.0,58.0,36.2,1.5,-1.3,123.0,119.0,22215.909,25534.89,"(27, 30]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
26,26,RJ Barrett,Guard,20.0,72.0,72.0,34.9,-0.9,-0.3,106.0,110.0,8231.76,9461.557,"(18, 21]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
27,27,Will Barton,Forward,30.0,56.0,52.0,31.0,-1.0,-0.8,107.0,114.0,13723.214,15773.415,"(27, 30]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
28,28,Keita Bates-Diop,Forward,25.0,30.0,0.0,8.2,-2.3,0.4,106.0,111.0,449.115,516.211,"(24, 27]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
29,29,Nicolas Batum,Forward,32.0,67.0,38.0,27.4,0.6,1.5,124.0,110.0,11608.231,13342.461,"(30, 33]","(65.0, 82.0]","(20.0, 40.0]","(20.0, 30.0]"
30,30,Aron Baynes,Center,34.0,53.0,31.0,18.5,-3.4,-1.1,104.0,113.0,7000.0,8045.776,"(33, 36]","(50.0, 65.0]","(20.0, 40.0]","(10.0, 20.0]"
31,31,Kent Bazemore,Forward,31.0,67.0,18.0,19.9,-2.9,1.7,101.0,108.0,2320.044,2666.65,"(30, 33]","(65.0, 82.0]","(-0.001, 20.0]","(10.0, 20.0]"
32,32,Darius Bazley,Forward,20.0,55.0,55.0,31.2,-3.1,-1.3,93.0,114.0,2399.16,2757.586,"(18, 21]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
33,33,Bradley Beal,Guard,27.0,60.0,60.0,35.8,4.8,-1.4,114.0,115.0,28751.774,33047.191,"(24, 27]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
34,34,Malik Beasley,Guard,24.0,37.0,36.0,32.8,1.6,-1.8,109.0,118.0,13425.895,15431.678,"(21, 24]","(35.0, 50.0]","(20.0, 40.0]","(30.0, 40.0]"
35,35,DeAndre Bembry,Forward,26.0,51.0,12.0,19.1,-3.2,1.4,104.0,111.0,1737.145,1996.668,"(24, 27]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
36,36,Davis Bertans,Forward,28.0,57.0,7.0,25.7,0.3,-1.1,120.0,116.0,15000.0,17240.949,"(27, 30]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
37,37,Patrick Beverley,Guard,32.0,37.0,34.0,22.5,-0.7,1.4,118.0,110.0,13333.333,15325.287,"(30, 33]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
38,38,Saddiq Bey,Forward,21.0,70.0,53.0,27.3,0.3,-0.8,112.0,114.0,2689.92,3091.784,"(18, 21]","(65.0, 82.0]","(40.0, 60.0]","(20.0, 30.0]"
39,39,Khem Birch,Center,28.0,67.0,22.0,22.8,-1.0,0.1,121.0,113.0,3011.499,3461.406,"(27, 30]","(65.0, 82.0]","(20.0, 40.0]","(20.0, 30.0]"
40,40,Goga Bitadze,Center,21.0,45.0,3.0,12.5,-2.0,1.0,116.0,109.0,2957.52,3399.363,"(18, 21]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
41,41,Bismack Biyombo,Center,28.0,66.0,36.0,20.4,-3.4,0.4,113.0,113.0,3500.0,4022.888,"(27, 30]","(65.0, 82.0]","(20.0, 40.0]","(20.0, 30.0]"
42,42,Nemanja Bjelica,Forward,32.0,37.0,3.0,16.1,-1.4,-0.8,111.0,116.0,7150.0,8218.185,"(30, 33]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
43,43,Eric Bledsoe,Guard,31.0,71.0,70.0,29.7,-1.2,-0.9,108.0,116.0,16875.0,19396.067,"(30, 33]","(65.0, 82.0]","(60.0, 82.0]","(20.0, 30.0]"
44,44,Bogdan Bogdanovic,Guard,28.0,44.0,27.0,29.7,3.3,0.3,122.0,114.0,18000.0,20689.139,"(27, 30]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
45,45,Bojan Bogdanovic,Forward,31.0,72.0,72.0,30.8,0.2,-0.7,113.0,112.0,17850.0,20516.729,"(30, 33]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
46,46,Bol Bol,Forward,21.0,32.0,2.0,5.0,-3.8,-0.3,92.0,111.0,2058.24,2365.734,"(18, 21]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
47,47,Isaac Bonga,Forward,21.0,40.0,8.0,10.8,-5.8,0.0,90.0,114.0,1663.861,1912.436,"(18, 21]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
48,48,Devin Booker,Guard,24.0,67.0,67.0,33.9,1.7,-1.4,110.0,114.0,29467.8,33870.189,"(21, 24]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
49,49,Chris Boucher,Center,28.0,60.0,14.0,24.2,2.7,0.6,127.0,109.0,6500.0,7471.078,"(27, 30]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
50,50,Avery Bradley,Guard,30.0,27.0,6.0,22.3,-4.9,-0.5,94.0,116.0,5635.0,6476.849,"(27, 30]","(19.999, 35.0]","(-0.001, 20.0]","(20.0, 30.0]"
51,51,Tony Bradley,Center,23.0,42.0,8.0,16.3,1.2,0.1,131.0,109.0,3542.06,4071.231,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
52,52,Jarrell Brantley,Forward,24.0,28.0,0.0,4.9,0.6,1.6,120.0,107.0,510.586,586.865,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
53,53,Mikal Bridges,Forward,24.0,72.0,72.0,32.6,2.4,0.9,131.0,112.0,4359.0,5010.219,"(21, 24]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
54,54,Miles Bridges,Forward,22.0,66.0,19.0,29.3,0.2,0.1,116.0,113.0,3934.32,4522.094,"(21, 24]","(65.0, 82.0]","(-0.001, 20.0]","(20.0, 30.0]"
55,55,Oshae Brissett,Forward,22.0,21.0,16.0,24.7,1.1,-0.5,129.0,111.0,1255.493,1443.058,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(20.0, 30.0]"
56,56,Malcolm Brogdon,Guard,28.0,56.0,56.0,34.5,3.0,-0.9,113.0,115.0,20700.0,23792.509,"(27, 30]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
57,57,Armoni Brooks,Guard,22.0,20.0,5.0,26.0,-1.1,-2.1,105.0,117.0,135.362,155.584,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(20.0, 30.0]"
58,58,Dillon Brooks,Forward,25.0,67.0,67.0,29.8,-2.6,-1.1,102.0,113.0,11400.0,13103.121,"(24, 27]","(65.0, 82.0]","(60.0, 82.0]","(20.0, 30.0]"
59,59,Bruce Brown,Guard,24.0,65.0,37.0,22.3,-0.4,0.2,124.0,112.0,1663.861,1912.436,"(21, 24]","(50.0, 65.0]","(20.0, 40.0]","(20.0, 30.0]"
60,60,Jaylen Brown,Guard,24.0,58.0,58.0,34.5,3.2,-0.7,112.0,113.0,25035.118,28775.279,"(21, 24]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
61,61,Moses Brown,Center,21.0,43.0,32.0,21.4,-1.3,-1.2,117.0,109.0,1250.0,1436.745,"(18, 21]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
62,62,Sterling Brown,Guard,25.0,51.0,14.0,24.1,-1.6,0.0,114.0,116.0,1678.854,1929.669,"(24, 27]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
63,63,Troy Brown,Forward,21.0,34.0,0.0,15.4,-3.3,-0.6,103.0,114.0,3372.84,3876.73,"(18, 21]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
64,64,Jalen Brunson,Guard,24.0,68.0,12.0,25.0,1.5,-0.6,123.0,116.0,1663.861,1912.436,"(21, 24]","(65.0, 82.0]","(-0.001, 20.0]","(20.0, 30.0]"
65,65,Reggie Bullock,Forward,29.0,65.0,64.0,30.0,-0.9,0.8,118.0,111.0,4200.0,4827.465,"(27, 30]","(50.0, 65.0]","(60.0, 82.0]","(20.0, 30.0]"
66,66,Trey Burke,Guard,28.0,62.0,1.0,14.7,-1.4,-0.4,110.0,115.0,3000.0,3448.189,"(27, 30]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
67,67,Alec Burks,Guard,29.0,49.0,5.0,25.6,0.9,0.6,114.0,109.0,6000.0,6896.379,"(27, 30]","(35.0, 50.0]","(-0.001, 20.0]","(20.0, 30.0]"
68,68,Jimmy Butler,Forward,31.0,52.0,52.0,33.6,5.4,2.3,127.0,108.0,34379.1,39515.221,"(30, 33]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
69,69,Devontae Cacok,Forward,24.0,20.0,1.0,4.9,-1.5,0.4,111.0,102.0,449.115,516.211,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
70,70,Kentavious Caldwell-Pope,Guard,27.0,67.0,67.0,28.4,-1.6,1.0,114.0,109.0,12073.02,13876.688,"(24, 27]","(65.0, 82.0]","(60.0, 82.0]","(20.0, 30.0]"
71,71,Facundo Campazzo,Guard,29.0,65.0,19.0,21.9,-1.7,1.2,117.0,112.0,3200.0,3678.069,"(27, 30]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
72,72,Vlatko Cancar,Forward,23.0,41.0,1.0,6.9,-2.6,0.0,104.0,112.0,1517.981,1744.762,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(-0.001, 10.0]"
73,73,Clint Capela,Center,26.0,63.0,63.0,30.1,2.7,0.0,125.0,106.0,18000.0,20689.139,"(24, 27]","(50.0, 65.0]","(60.0, 82.0]","(30.0, 40.0]"
74,74,Jevon Carter,Guard,25.0,60.0,1.0,12.0,-0.4,0.9,115.0,111.0,3925.0,4511.381,"(24, 27]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
75,75,Wendell Carter,Center,21.0,54.0,44.0,25.5,-1.1,-0.2,114.0,111.0,5448.84,6262.878,"(18, 21]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
76,76,Michael Carter-Williams,Guard,29.0,31.0,25.0,25.8,-4.6,-0.2,93.0,115.0,3300.0,3793.008,"(27, 30]","(19.999, 35.0]","(20.0, 40.0]","(20.0, 30.0]"
77,77,Alex Caruso,Guard,26.0,58.0,6.0,21.0,-2.5,2.5,106.0,106.0,2750.0,3160.84,"(24, 27]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
78,78,Willie Cauley-Stein,Center,27.0,53.0,16.0,17.1,-2.2,0.9,128.0,110.0,4100.0,4712.526,"(24, 27]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
79,79,Chris Chiozza,Guard,25.0,22.0,1.0,10.5,-0.1,-0.6,108.0,115.0,449.115,516.211,"(24, 27]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
80,80,Gary Clark,Forward,26.0,39.0,11.0,16.8,-4.2,-0.7,97.0,117.0,2018.458,2320.008,"(24, 27]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
81,81,Brandon Clarke,Forward,24.0,59.0,16.0,24.0,0.4,1.2,119.0,109.0,2602.92,2991.787,"(21, 24]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
82,82,Jordan Clarkson,Guard,28.0,68.0,1.0,26.7,1.8,-0.4,109.0,110.0,11500.0,13218.061,"(27, 30]","(65.0, 82.0]","(-0.001, 20.0]","(20.0, 30.0]"
83,83,Nicolas Claxton,Center,21.0,32.0,1.0,18.6,-1.0,1.4,124.0,108.0,1517.981,1744.762,"(18, 21]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
84,84,Amir Coffey,Guard,23.0,44.0,1.0,9.0,-1.9,-0.1,115.0,114.0,578.842,665.319,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(-0.001, 10.0]"
85,85,John Collins,Forward,23.0,63.0,63.0,29.3,2.5,-0.2,125.0,112.0,4137.302,4755.4,"(21, 24]","(50.0, 65.0]","(60.0, 82.0]","(20.0, 30.0]"
86,86,Mike Conley,Guard,33.0,51.0,51.0,29.4,3.6,1.3,123.0,109.0,34502.132,39656.633,"(30, 33]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
87,87,Pat Connaughton,Guard,28.0,69.0,4.0,22.8,-0.5,0.5,121.0,112.0,4938.273,5676.034,"(27, 30]","(65.0, 82.0]","(-0.001, 20.0]","(20.0, 30.0]"
88,88,Quinn Cook,Guard,27.0,23.0,0.0,6.8,-1.0,-0.2,107.0,114.0,1981.649,2277.7,"(24, 27]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
89,89,Tyler Cook,Forward,23.0,32.0,1.0,13.7,-2.2,-0.9,118.0,115.0,693.141,796.693,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
90,90,DeMarcus Cousins,Center,30.0,41.0,11.0,17.4,-1.2,1.6,103.0,107.0,3051.832,3507.765,"(27, 30]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
91,91,Robert Covington,Forward,30.0,70.0,70.0,32.0,-1.3,1.5,113.0,112.0,12138.345,13951.772,"(27, 30]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
92,92,Torrey Craig,Forward,30.0,50.0,8.0,16.1,-0.3,0.7,120.0,109.0,1678.854,1929.669,"(27, 30]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
93,93,Jae Crowder,Forward,30.0,60.0,42.0,27.5,0.3,0.8,113.0,111.0,9258.0,10641.113,"(27, 30]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
94,94,Jarrett Culver,Guard,21.0,34.0,7.0,14.7,-4.5,-1.1,96.0,115.0,6104.28,7016.238,"(18, 21]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
95,95,Seth Curry,Guard,30.0,57.0,57.0,28.7,0.1,-0.4,118.0,112.0,7834.449,9004.889,"(27, 30]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
96,96,Stephen Curry,Guard,32.0,63.0,63.0,34.2,8.3,0.4,119.0,111.0,43006.362,49431.367,"(30, 33]","(50.0, 65.0]","(60.0, 82.0]","(30.0, 40.0]"
97,97,Anthony Davis,Forward,27.0,36.0,36.0,32.3,2.6,2.2,110.0,104.0,32742.0,37633.544,"(24, 27]","(35.0, 50.0]","(20.0, 40.0]","(30.0, 40.0]"
98,98,Ed Davis,Center,31.0,23.0,7.0,13.0,-3.3,1.1,130.0,110.0,5005.35,5753.132,"(30, 33]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
99,99,Terence Davis,Guard,23.0,61.0,4.0,17.6,-0.9,-0.9,104.0,115.0,1517.981,1744.762,"(21, 24]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
100,100,DeMar DeRozan,Forward,31.0,61.0,61.0,33.7,3.2,-0.1,122.0,115.0,27739.975,31884.233,"(30, 33]","(50.0, 65.0]","(60.0, 82.0]","(30.0, 40.0]"
101,101,Hamidou Diallo,Forward,22.0,52.0,9.0,23.6,-2.2,0.1,106.0,112.0,1663.861,1912.436,"(21, 24]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
102,102,Gorgui Dieng,Center,31.0,38.0,1.0,14.5,1.8,1.5,127.0,109.0,17587.688,20215.228,"(30, 33]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
103,103,Donte DiVincenzo,Guard,24.0,66.0,66.0,27.5,-0.2,0.4,112.0,112.0,3044.16,3498.947,"(21, 24]","(65.0, 82.0]","(60.0, 82.0]","(20.0, 30.0]"
104,104,Luka Doncic,Guard,21.0,66.0,66.0,34.3,6.1,0.7,114.0,111.0,8049.36,9251.907,"(18, 21]","(65.0, 82.0]","(60.0, 82.0]","(30.0, 40.0]"
105,105,Luguentz Dort,Guard,21.0,52.0,52.0,29.7,-2.6,-0.9,100.0,116.0,1517.981,1744.762,"(18, 21]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
106,106,Damyean Dotson,Guard,26.0,46.0,7.0,19.7,-3.4,-1.4,99.0,118.0,2000.0,2298.793,"(24, 27]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
107,107,Sekou Doumbouya,Forward,20.0,56.0,11.0,15.5,-5.4,-1.3,93.0,114.0,3449.4,3964.728,"(18, 21]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
108,108,PJ Dozier,Guard,24.0,50.0,6.0,21.8,-2.3,-0.4,104.0,113.0,1762.796,2026.151,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(20.0, 30.0]"
109,109,Goran Dragic,Guard,34.0,50.0,11.0,26.7,-1.1,-1.3,104.0,114.0,18000.0,20689.139,"(33, 36]","(35.0, 50.0]","(-0.001, 20.0]","(20.0, 30.0]"
110,110,Andre Drummond,Center,27.0,46.0,46.0,27.0,-1.7,0.5,101.0,104.0,28751.774,33047.19,"(24, 27]","(35.0, 50.0]","(40.0, 60.0]","(20.0, 30.0]"
111,111,Kevin Durant,Forward,32.0,35.0,32.0,33.1,6.4,0.8,122.0,112.0,40108.95,46101.091,"(30, 33]","(19.999, 35.0]","(20.0, 40.0]","(30.0, 40.0]"
112,112,Anthony Edwards,Guard,19.0,72.0,55.0,32.1,-0.4,-1.7,102.0,116.0,9757.44,11215.168,"(18, 21]","(65.0, 82.0]","(40.0, 60.0]","(30.0, 40.0]"
113,113,Carsen Edwards,Guard,22.0,31.0,1.0,8.9,-3.2,-1.3,108.0,116.0,1517.981,1744.762,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
114,114,CJ Elleby,Forward,20.0,30.0,0.0,6.4,-4.0,-0.9,105.0,117.0,898.31,1032.514,"(18, 21]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
115,115,Wayne Ellington,Guard,33.0,46.0,31.0,22.0,1.1,-1.3,118.0,117.0,3564.753,4097.314,"(30, 33]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
116,116,Joel Embiid,Center,26.0,51.0,51.0,31.1,6.3,1.2,121.0,104.0,29542.01,33955.486,"(24, 27]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
117,117,James Ennis,Forward,30.0,41.0,37.0,24.0,-1.9,-0.3,120.0,115.0,3300.0,3793.008,"(27, 30]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
118,118,Drew Eubanks,Center,23.0,54.0,3.0,14.0,-1.0,1.0,118.0,109.0,1620.564,1862.67,"(21, 24]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
119,119,Derrick Favors,Center,29.0,68.0,0.0,15.3,0.3,2.4,138.0,103.0,9258.0,10641.113,"(27, 30]","(65.0, 82.0]","(-0.001, 20.0]","(10.0, 20.0]"
120,120,Bruno Fernando,Center,22.0,33.0,0.0,6.8,-6.1,-0.4,86.0,111.0,1517.981,1744.762,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(-0.001, 10.0]"
121,121,Dorian Finney-Smith,Forward,27.0,60.0,60.0,32.0,0.2,0.0,124.0,114.0,4000.0,4597.586,"(24, 27]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
122,122,Malachi Flynn,Guard,22.0,47.0,14.0,19.7,-2.5,-0.2,103.0,114.0,1950.6,2242.013,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
123,123,Bryn Forbes,Guard,27.0,70.0,10.0,19.3,0.4,-1.7,119.0,117.0,2337.145,2686.306,"(24, 27]","(65.0, 82.0]","(-0.001, 20.0]","(10.0, 20.0]"
124,124,Trent Forrest,Guard,22.0,30.0,0.0,10.1,-2.5,1.2,113.0,110.0,470.69,541.009,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
125,125,Evan Fournier,Forward,28.0,42.0,36.0,30.0,1.5,-0.4,115.0,115.0,17150.0,19712.152,"(27, 30]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
126,126,De'Aaron Fox,Guard,23.0,58.0,58.0,35.1,3.1,-1.3,113.0,118.0,8099.627,9309.683,"(21, 24]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
127,127,Wenyen Gabriel,Forward,23.0,21.0,0.0,11.5,-3.2,-0.1,104.0,112.0,1620.564,1862.67,"(21, 24]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
128,128,Daniel Gafford,Center,22.0,54.0,11.0,14.6,0.6,1.6,131.0,107.0,1517.981,1744.762,"(21, 24]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
129,129,Danilo Gallinari,Forward,32.0,51.0,4.0,24.0,1.7,-0.6,123.0,114.0,19500.0,22413.234,"(30, 33]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
130,130,Langston Galloway,Guard,29.0,40.0,0.0,11.0,-0.1,-0.8,118.0,115.0,2028.594,2331.659,"(27, 30]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
131,131,Darius Garland,Guard,21.0,54.0,50.0,33.1,0.0,-2.1,105.0,117.0,6720.72,7724.772,"(18, 21]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
132,132,Marc Gasol,Center,36.0,52.0,42.0,19.1,-1.4,3.7,115.0,105.0,2564.753,2947.918,"(33, 36]","(50.0, 65.0]","(40.0, 60.0]","(10.0, 20.0]"
133,133,Rudy Gay,Forward,34.0,63.0,1.0,21.6,-0.1,0.0,103.0,111.0,14500.0,16666.25,"(33, 36]","(50.0, 65.0]","(-0.001, 20.0]","(20.0, 30.0]"
134,134,Paul George,Forward,30.0,54.0,54.0,33.7,3.9,0.3,113.0,110.0,35450.412,40746.583,"(27, 30]","(50.0, 65.0]","(40.0, 60.0]","(30.0, 40.0]"
